Emotion/Mood,Carnatic Ragas,Hindustani Ragas
Devotion,"Abhogi, Anandabhairavi, Bhairavi, Mayamalavagowla, Kalyani","Bhairav, Yaman, Durga, Bhairavi"
Peace,"Abhogi, Shankarabharanam, Bhupalam, Hindolam","Bhoop, Yaman"
Joy,"Hamsadhwani, Bilahari, Atana, Basant","ShudhSarang, Miyan Ki Malhar"
Romantic,"Madhuvanti, Kafi, Tilak Kamod, Pilu","Kamboji, Khamaj"
Melancholy,"Ritigowla, Todi, Saveri, Kharaharapriya, Kirwani","Bhimpalasi, Darbari Kanada"
Majestic,"Kalyani, Durbar","Marwa, Puriya Dhanashri"
Intense,"Keeravani, Varali, Adana","Pantuvarali, Shubhapantuvarali"
Calm,"Hindolam, Kharaharapriya, Kirwani",Miyan Ki Todi
Rainy,Amritavarshini,"Des, Miyan Ki Malhar"
Morning,"Bhairav, Asavari, Miyan Ki Todi",
Evening,"Bhoop, Darbari Kanada, Rageshree",
Energetic,Atana,
Solemnity,"Keeravani, Puriya Dhanashri",
